publish_date,Date,Adj Close,Close,High,Low,Open,Volume,Signal,SMA_20,SMA_50,EMA_20,Volatility_20,RSI,Momentum_10,existing_news,prob_neutral,prob_positive,prob_negative,total_comments,voted_label,article_count,label_distribution,majority_label,sentiment_score,sentiment_interpretation,day_type
2014-11-13,2014-11-13 00:00:00+00:00,25.840282440185547,33.68000030517578,33.86000061035156,33.34000015258789,33.349998474121094,26449300,1,33.24000015258789,33.71600002288818,33.42636919040311,0.8390910644651659,6.141256010976491,1.0999984741210938,True,0.91,0.037,0.054,29.0,neutral,1.0,{'neutral': 1},neutral,-0.2,"0.2% Negative, 99.8% Neutral",News Day
2014-11-14,2014-11-14 00:00:00+00:00,26.04743194580078,33.95000076293945,33.970001220703125,33.349998474121094,33.75,18104600,1,33.36850023269653,33.69500003814697,33.476238863978,0.7287933155928948,8.516392601121069,-0.05999755859375,False,,,,,,,,,0.0,,No News Day
2014-11-17,2014-11-17 00:00:00+00:00,26.269933700561523,34.2400016784668,34.25,33.7599983215332,33.81999969482422,17646300,1,33.50150032043457,33.67320003509521,33.5489781796436,0.6197900828064132,6.117410730618602,-0.0699996948242187,False,,,,,,,,,0.0,,No News Day
2014-11-18,2014-11-18 00:00:00+00:00,26.630525588989254,34.709999084472656,34.900001525878906,34.15999984741211,34.189998626708984,30674800,1,33.606500244140626,33.669200019836424,33.65955159915113,0.6384130422670184,8.756104838117665,0.1699981689453125,True,0.648,0.17,0.181,17.0,neutral,2.0,{'neutral': 2},neutral,-0.4,"0.4% Negative, 99.6% Neutral",News Day
2014-11-19,2014-11-19 00:00:00+00:00,26.35433006286621,34.349998474121094,34.790000915527344,34.25,34.689998626708984,21289600,1,33.710500144958495,33.65579998016357,33.725308444386364,0.5755588309493316,20.363190300830937,0.5900001525878906,False,,,,,,,,,0.0,,No News Day
2014-11-20,2014-11-20 00:00:00+00:00,27.58189582824707,35.95000076293945,35.970001220703125,34.0,34.13999938964844,61994700,1,33.87350025177002,33.67439998626709,33.93718390329618,0.7158598202444167,20.56880485898064,2.1300010681152344,True,0.057,0.87,0.073,28.0,positive,1.0,{'positive': 1},positive,75.2,"75.2% Positive, 24.799999999999997% Neutral",News Day
2014-11-21,2014-11-21 00:00:00+00:00,27.30569839477539,35.59000015258789,36.459999084472656,35.5,35.97999954223633,56721600,0,33.99400024414062,33.69380001068115,34.0945949746573,0.7917892839346697,14.510491172608113,2.009998321533203,True,0.151,0.315,0.534,10.0,negative,1.0,{'negative': 1},negative,-18.6,"18.6% Negative, 81.4% Neutral",News Day
2014-11-24,2014-11-24 00:00:00+00:00,27.81206512451172,36.25,36.43000030517578,35.84000015258789,35.88999938964844,33321100,1,34.146500205993654,33.727999992370606,34.29987164373755,0.914953265643072,17.705132851420544,2.990001678466797,True,0.136,0.852,0.012,6.0,positive,1.0,{'positive': 1},positive,72.6,"72.6% Positive, 27.400000000000006% Neutral",News Day
2014-11-25,2014-11-25 00:00:00+00:00,27.86576461791992,36.31999969482422,36.47999954223633,36.150001525878906,36.36000061035156,29093200,0,34.27550010681152,33.75579998016357,34.492264791460094,1.0293505764303368,26.374538031755225,3.009998321533203,False,,,,,,,,,0.0,,No News Day
2014-11-26,2014-11-26 00:00:00+00:00,28.310768127441406,36.900001525878906,36.9900016784668,36.27999877929688,36.369998931884766,24060000,0,34.4245002746582,33.794200019836424,34.72157305188093,1.179859372647182,29.580744463346704,3.520000457763672,True,0.112,0.322,0.566,3.0,negative,1.0,{'negative': 1},negative,-21.7,"21.7% Negative, 78.3% Neutral",News Day
